ID	Prob	Len	Word	Freq	Score
[161]	0.000987346	1	闲	252	inf
[162]	0.000157007	1	尝	39	inf
[163]	0.0013509	1	雪	411	inf
[164]	0.000158569	1	茶	45	inf
[165]	0.000535095	1	城	272	inf
[166]	0.00209998	1	中	1089	inf
[167]	0.000171468	1	展	27	inf
[168]	0.00144481	1	处	646	inf
[169]	0.00104131	1	是	676	inf
[170]	0.000270197	1	元	99	inf
[171]	0.00265685	1	山	1809	inf
[172]	3.5876e-005	1	泓	16	inf
[173]	0.00197248	1	上	864	inf
[174]	0.00181032	1	云	1210	inf
[175]	7.19448e-005	1	朵	30	inf
[176]	0.000494644	1	尘	220	inf
[177]	0.00121885	1	飞	502	inf
[178]	0.00163562	1	月	1169	inf
[179]	0.00132763	1	我	495	inf
[180]	0.0012788	1	高	522	inf
[181]	0.000429321	1	田	152	inf
[182]	0.000351429	1	二	130	inf
[183]	0.000178452	1	麦	24	inf
[184]	0.00102362	1	青	642	inf
[185]	0.000297355	1	低	69	inf
[186]	0.000779997	1	初	199	inf
[187]	0.000132215	1	邻	64	inf
[188]	0.000462308	1	翁	131	inf
[189]	0.000285302	1	唤	64	inf
[190]	3.56903e-005	1	赛	4	inf
[191]	0.000423825	1	神	142	inf
[192]	0.000534247	1	枝	292	inf
[193]	0.00069556	1	头	433	inf
[194]	0.000675664	1	鸣	200	inf
[195]	9.29074e-005	1	布	31	inf
[196]	0.000279344	1	谷	121	inf
[197]	0.000147604	1	塞	58	inf
[198]	0.00085275	1	三	409	inf
[199]	0.000289793	1	千	602	inf
[200]	0.00123954	1	里	596	inf
[201]	0.00170681	1	天	915	inf
[202]	0.000225365	1	十	255	inf
[203]	0.000295247	1	骨	78	inf
[204]	0.00141505	1	出	441	inf
[205]	0.000623688	1	龙	245	inf
[206]	0.000634452	1	门	455	inf
[207]	0.00130914	1	复	339	inf
[208]	0.00150732	1	入	363	inf
[209]	0.00098456	1	望	301	inf
[210]	0.00108482	1	君	614	inf
[211]	0.000738826	1	可	517	inf
[212]	0.000294106	1	怜	180	inf
[213]	0.000494378	1	鸟	266	inf
[214]	0.00150963	1	尽	372	inf
[215]	0.000387897	1	斜	146	inf
[216]	4.99664e-005	1	曛	8	inf
[217]	2.91038e-005	1	岘	7	inf
[218]	0.00033998	1	奇	74	inf
[219]	0.000210106	1	境	48	inf
[220]	0.000138177	1	饶	26	inf
[221]	0.000264295	1	洞	113	inf
[222]	0.000391732	1	藏	97	inf
[223]	0.000585863	1	幽	309	inf
[224]	0.000458885	1	寻	173	inf
[225]	0.000446271	1	但	146	inf
[226]	0.000242842	1	借	69	inf
[227]	0.000224601	1	玄	51	inf
[228]	0.000151102	1	猿	61	inf
[229]	0.000453669	1	宿	121	inf
[230]	0.00045825	1	虽	102	inf
[231]	0.000133901	1	适	33	inf
[232]	0.000406024	1	口	113	inf
[233]	0.000231724	1	味	58	inf
[234]	0.00030876	1	暖	63	inf
[235]	0.000317282	1	功	87	inf
[236]	0.000240824	1	比	68	inf
[237]	0.000115936	1	菜	25	inf
[238]	0.000348384	1	登	134	inf
[239]	0.000300319	1	盘	88	inf
[240]	0.00225016	1	多	484	inf
[241]	7.36185e-005	1	逆	17	inf
[242]	0.000315329	1	耳	56	inf
[243]	0.000552938	1	海	253	inf
[244]	0.000630426	1	孤	292	inf
[245]	0.000175547	1	帆	72	inf
[246]	0.000330113	1	交	75	inf
[247]	0.000171492	1	杂	28	inf
[248]	0.000992319	1	树	473	inf
[249]	0.000268777	1	美	95	inf
[250]	0.00408476	1	人	2165	inf
[251]	0.000622526	1	晓	167	inf
[252]	0.000485996	1	眠	122	inf
[253]	0.00125722	1	更	370	inf
[254]	0.00168316	1	在	594	inf
[255]	0.000678307	1	林	487	inf
[256]	0.00123111	1	远	369	inf
[257]	0.00138262	1	客	502	inf
[258]	0.00017995	1	厌	43	inf
[259]	0.000195946	1	征	63	inf
[260]	0.00128894	1	路	382	inf
[261]	0.000346226	1	逢	178	inf
[262]	0.000356952	1	素	90	inf
[263]	0.00185479	1	秋	851	inf
[264]	0.00108225	1	知	809	inf
[265]	0.00120737	1	夜	727	inf
[266]	0.00067567	1	照	280	inf
[267]	0.00064635	1	几	320	inf
[268]	0.00110762	1	愁	302	inf
[269]	0.000102187	1	昨	73	inf
[270]	0.000697946	1	至	168	inf
[271]	0.000293245	1	庭	171	inf
[272]	0.000812741	1	前	419	inf
[273]	0.00137888	1	落	621	inf
[274]	0.00077313	1	叶	372	inf
[275]	0.000325316	1	遥	172	inf
[276]	0.00100264	1	未	585	inf
[277]	0.000920944	1	相	687	inf
[278]	0.00161728	1	见	707	inf
[279]	0.00125902	1	欲	461	inf
[280]	0.00195851	1	如	863	inf
[281]	0.00121791	1	何	1283	inf
[282]	1.42992e-005	1	趺	10	inf
[283]	0.000365826	1	傍	86	inf
[284]	0.000307567	1	根	138	inf
[285]	0.000339584	1	圆	64	inf
[286]	0.00158057	1	空	627	inf
[287]	4.28284e-005	1	慧	5	inf
[288]	0.000194198	1	性	52	inf
[289]	0.000252641	1	存	51	inf
[290]	0.000216803	1	法	48	inf
[291]	0.000570183	1	华	231	inf
[292]	0.000109364	1	堆	19	inf
[293]	0.000834523	1	难	215	inf
[294]	0.00153394	1	与	434	inf
[295]	0.000438725	1	世	240	inf
[296]	0.000331495	1	论	81	inf
[297]	0.000873679	1	游	272	inf
[298]	0.00055836	1	仙	236	inf
[299]	0.000809404	1	梦	316	inf
[300]	0.00151684	1	清	747	inf
[301]	0.000414923	1	观	98	inf
[302]	4.9992e-005	1	恍	14	inf
[303]	7.95842e-005	1	瑶	67	inf
